10,4,656,656
10,11,680,680
10,8,586,586
10,9,913,913
10,8,402,402
10,5,170,170
10,7,876,876
10,13,319,319
10,13,137,137
10,6,472,472
10,14,293,293
10,11,562,562
10,13,818,818
10,12,267,267
10,13,461,461
10,3,710,710
10,9,219,219
10,12,443,443
10,6,862,862
10,9,866,866
11,9,553,553
11,8,83,83
11,12,349,349
11,12,737,737
11,15,905,905
11,11,52,52
28,11,389,389
11,12,397,397
11,9,893,893
11,13,833,833
11,12,164,164
11,8,229,229
11,13,371,371
11,9,228,228
11,13,337,337
11,12,771,771
11,11,629,629
11,11,361,361
11,6,367,367
11,8,95,95
11,8,504,504
11,8,849,849
11,9,900,900
30,20,247,247
11,6,431,431
11,13,562,562
11,13,600,600
11,16,939,939
11,8,496,496
11,15,680,680
11,9,276,276
11,11,432,432
11,11,933,933
11,11,91,91
12,10,292,292
12,9,452,452
12,15,433,433
12,9,541,541
12,9,335,335
12,14,594,594
12,9,112,112
12,11,498,498
12,9,770,770
12,8,1,1
12,8,226,226
12,12,330,330
12,17,850,850
12,13,860,860
12,7,520,520
12,20,408,408
12,10,878,878
12,14,914,914
12,13,74,74
12,11,582,582
12,10,468,468
12,15,838,838
12,16,801,801
12,18,516,516
12,17,144,144
12,12,742,742
12,13,856,856
12,13,451,451
12,6,15,15
12,14,651,651
12,10,900,900
12,15,176,176
12,8,991,991
12,13,545,545
13,18,241,241
13,18,143,143
13,8,761,761
13,14,375,375
13,7,170,170
13,15,85,85
13,13,627,627
13,16,92,92
13,12,66,66
13,13,938,938
13,15,753,753
13,15,565,565
13,21,729,729
13,20,55,55
13,12,498,498
13,12,453,453
13,10,278,278
13,12,929,929
13,9,567,567
13,19,932,932
13,7,254,254
13,10,730,730
13,9,713,713
13,22,61,61
13,11,861,861
13,19,811,811
13,8,887,887
13,16,86,86
13,15,211,211
13,17,686,686
13,14,197,197
13,13,961,961
13,16,603,603
13,15,189,189
14,9,635,635
14,14,938,938
14,12,152,152
14,25,958,958
14,10,170,170
14,18,833,833
14,9,103,103
14,18,806,806
14,12,639,639
37,15,454,454
14,17,973,973
14,16,440,440
14,8,919,919
14,14,293,293
14,12,152,152
14,18,245,245
14,12,151,151
14,11,105,105
14,13,881,881
14,15,517,517
14,16,847,847
14,19,443,443
14,9,501,501
14,18,631,631
14,14,856,856
14,10,770,770
14,19,36,36
14,15,436,436
14,12,512,512
14,21,976,976
14,15,236,236
43,20,782,782
14,15,920,920
14,11,10,10
15,21,925,925
15,13,441,441
15,10,87,87
15,14,97,97
15,15,195,195
15,13,78,78
15,14,202,202
15,21,995,995
15,15,137,137
15,13,921,921
15,16,766,766
15,13,947,947
15,18,556,556
15,17,526,526
15,12,577,577
15,14,260,260
15,17,219,219
15,13,114,114
40,17,454,454
15,20,144,144
15,20,368,368
15,16,264,264
15,17,927,927
15,12,770,770
15,20,750,750
15,14,704,704
15,16,38,38
15,17,795,795
15,11,28,28
15,13,624,624
15,12,424,424
15,15,920,920
15,15,595,595
15,10,231,231
16,14,867,867
16,18,541,541
16,14,488,488
16,19,860,860
16,16,65,65
16,13,76,76
16,15,386,386
16,12,314,314
16,18,493,493
16,21,778,778
16,17,639,639
16,10,520,520
16,15,267,267
16,10,675,675
16,23,400,400
16,12,907,907
16,12,529,529
16,20,332,332
16,18,230,230
16,11,279,279
16,24,811,811
16,27,905,905
16,17,822,822
16,22,909,909
16,13,935,935
16,19,914,914
16,17,763,763
16,17,726,726
16,19,374,374
16,21,50,50
16,20,747,747
16,22,443,443
16,18,337,337
16,20,348,348
17,25,133,133
17,14,935,935
17,16,553,553
17,16,97,97
17,10,484,484
17,19,863,863
17,28,77,77
17,10,186,186
17,23,699,699
17,17,355,355
17,20,753,753
17,13,496,496
17,18,274,274
17,9,494,494
17,19,524,524
17,14,465,465
17,22,658,658
17,13,546,546
17,13,607,607
17,19,937,937
17,19,833,833
17,20,11,11
17,17,606,606
17,20,284,284
17,15,468,468
17,22,143,143
17,18,534,534
17,16,430,430
17,16,281,281
17,13,740,740
17,10,101,101
17,18,748,748
17,22,315,315
17,16,457,457
18,16,862,862
18,19,630,630
18,15,887,887
18,16,931,931
18,17,775,775
18,23,201,201
18,17,632,632
18,23,508,508
18,21,118,118
18,27,30,30
18,16,312,312
18,22,571,571
18,19,10,10
18,20,556,556
18,15,273,273
18,20,662,662
18,11,963,963
18,20,215,215
18,20,934,934
18,19,349,349
18,15,682,682
18,16,318,318
18,24,132,132
18,15,629,629
18,14,419,419
18,17,721,721
18,16,946,946
18,22,543,543
18,15,5,5
18,18,836,836
18,16,141,141
55,23,597,597
18,17,299,299
18,22,467,467
19,17,746,746
19,15,918,918
19,16,197,197
19,17,923,923
19,10,968,968
19,23,374,374
19,16,546,546
19,25,547,547
19,24,680,680
19,12,410,410
19,19,843,843
19,23,319,319
19,14,225,225
19,17,360,360
19,23,208,208
19,16,281,281
19,18,191,191
19,20,519,519
19,14,820,820
19,22,972,972
19,21,686,686
19,20,553,553
19,27,951,951
19,26,486,486
19,23,102,102
19,18,822,822
19,24,206,206
19,26,583,583
19,19,74,74
19,21,886,886
19,17,876,876
71,28,285,285
19,19,351,351
19,20,338,338
20,22,489,489
20,20,74,74
20,15,105,105
20,15,449,449
20,21,250,250
20,17,856,856
20,21,592,592
