101,3342,3342,3342,27
102,2073,1750,2395,27
104,1293,929,1720,27
105,812,502,1239,27
108,514,278,894,28
109,329,160,646,29
111,215,98,469,30
114,144,65,343,30
115,100,49,252,31
117,92,60,206,31
120,93,70,178,31
121,97,80,162,31
123,103,90,154,31
124,110,98,150,31
128,115,105,149,31
129,120,109,148,31
130,122,111,148,31
134,122,109,146,32
135,119,105,144,34
137,115,100,140,34
138,109,93,135,34
142,102,85,128,34
143,95,77,121,34
145,87,70,113,34
149,79,63,105,34
150,71,57,96,34
151,65,52,88,37
155,60,49,81,38
157,56,47,75,38
158,53,46,69,40
160,50,45,65,41
164,49,45,61,41
165,48,45,58,41
167,48,46,55,43
171,66,64,72,46
172,80,78,86,47
174,93,89,99,48
175,104,99,111,50
180,114,109,122,52
181,123,117,132,55
183,130,123,141,56
187,136,126,148,58
189,139,128,153,59
190,139,127,155,61
195,138,124,156,63
196,135,120,156,66
198,131,116,153,69
199,127,111,150,70
204,122,106,146,72
206,117,102,141,76
207,114,100,137,79
212,107,98,128,81
214,103,97,121,82
215,101,96,117,84
217,101,96,115,86
222,101,96,114,90
223,103,97,115,93
225,106,100,116,95
230,108,102,118,97
232,124,119,131,100
233,136,131,143,101
238,146,140,154,103
240,155,148,165,105
242,165,155,175,107
243,176,161,186,114
249,187,167,197,116
250,199,172,209,120
252,211,176,222,122
257,224,179,235,126
259,237,180,248,129
261,250,181,261,134
262,264,181,275,140
268,278,181,288,146
270,291,182,302,152
271,305,183,316,157
277,318,184,330,160
279,331,186,343,168
280,344,188,357,174
286,356,192,370,183
288,368,197,383,191
290,379,204,395,198
291,390,210,407,209
297,400,218,419,222
299,410,229,430,236
301,419,253,441,241
307,428,267,452,251
309,437,280,462,266
310,445,294,472,278
312,453,308,482,288
318,461,320,491,295
320,468,331,500,304
322,474,340,508,318
328,481,352,516,328
330,487,362,524,339
332,493,373,532,356
338,500,385,539,360
340,505,395,546,374
342,511,405,553,390
344,517,417,560,400
350,523,428,567,420
352,530,444,574,429
354,536,455,581,436
360,542,464,587,453
362,549,476,594,466
364,555,489,601,478
366,562,500,608,492
373,569,513,615,512
375,577,529,622,532
377,585,547,630,547
383,594,567,638,563
385,604,585,646,583
387,614,604,655,592
394,623,619,663,613
396,634,636,672,627
398,645,652,682,647
400,657,670,692,664
407,669,688,702,687
409,682,707,713,707
411,696,727,725,730
418,710,748,738,747
420,725,768,750,769
422,741,788,764,793
424,758,810,778,816
431,775,832,793,845
433,794,856,809,859
435,812,877,825,885
442,831,900,841,909
445,852,923,859,927
447,872,944,876,949
454,892,966,895,981
456,914,990,914,1006
458,936,1015,934,1035
460,960,1041,955,1079
468,986,1072,978,1115
470,1013,1105,1002,1140
472,1041,1136,1027,1173
480,1069,1167,1053,1196
482,1098,1195,1079,1231
484,1127,1226,1106,1266
486,1157,1258,1134,1305
494,1189,1291,1163,1335
496,1222,1324,1193,1369
498,1254,1358,1223,1407
506,1288,1392,1255,1440
508,1322,1426,1287,1473
510,1357,1460,1320,1510
518,1392,1495,1353,1550
520,1428,1531,1388,1581
523,1464,1566,1422,1616
525,1501,1601,1457,1652
533,1538,1636,1493,1688
535,1575,1682,1529,1731
537,1613,1727,1566,1761
545,1650,1765,1603,1811
548,1690,1809,1642,1858
550,1732,1855,1682,1894
552,1773,1897,1722,1923
561,1812,1931,1761,1965
563,1853,1969,1801,2026
565,1897,2018,1844,2067
573,1941,2063,1887,2113
576,1986,2109,1931,2161
578,2031,2155,1976,2209
587,2078,2202,2022,2253
589,2125,2248,2068,2298
591,2172,2294,2114,2353
594,2221,2344,2162,2401
